,ID,rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2
0,0,44.81000760554717,40.64367816091954,-0.802444255469204,18.88227946945118,-0.38844807016228433,6.694027756556375,162.308908045977,-0.559148033702014,72.89117328973462,0.2628968111658137
1,1,44.90550423216321,40.73994252873563,-0.7904905211236266,18.901712061229087,-0.3858716626894368,6.701156932363486,162.29741379310346,-0.5592388175114458,72.89311614817355,0.2633351957138956
2,2,44.87741925089599,40.68390804597701,-0.7975245097692878,18.955702233134083,-0.38507316969005395,6.6990610723366295,162.617816091954,-0.564176971418977,72.77435649118236,0.26356093256823643
3,3,44.90302449941877,40.729885057471265,-0.7872847399888738,18.91751190504229,-0.38794170329023125,6.700971907075776,162.36350574712642,-0.558995167149694,72.74632214536804,0.26905244204706413
4,4,44.91986798989824,40.742816091954026,-0.7894941244224745,18.929667784140527,-0.387397085893241,6.702228583829281,162.39798850574712,-0.5582620006654055,72.7366468467527,0.267861214200283
5,5,45.00159639569378,40.78735632183908,-0.718529595939501,19.027754387464817,-0.35301472551335755,6.708322919753773,162.51293103448276,-0.5530235835783004,72.66467661960114,0.26624565970444103
6,6,45.00159639569378,40.78735632183908,-0.718529595939501,19.027754387464817,-0.35301472551335755,6.708322919753773,162.67241379310346,-0.5635149919989622,72.7677028360503,0.26256165642005086
7,7,45.00691198512492,40.791666666666664,-0.7193853064300795,19.031091247029366,-0.3531006476238178,6.708719101670968,162.72844827586206,-0.560478398524602,72.73206646101434,0.2616238225552977
8,8,44.98232411468555,40.77155172413793,-0.7158538137923749,19.016035517355366,-0.3526834266460453,6.706886320393805,162.63362068965517,-0.5566926673841794,72.71206220652101,0.2653129242956711
9,9,45.0303218404829,40.81609195402299,-0.7180564770756948,19.03410266908928,-0.3559902802605873,6.710463608461259,162.67959770114942,-0.5579715634848523,72.7167120835424,0.2634140243598261
10,10,45.040451167581686,40.82327586206897,-0.7190373996586898,19.042673129074316,-0.3550264715514694,6.711218307251053,162.73563218390805,-0.5555180853767436,72.68876548546692,0.2620334203209028
11,11,45.04088181289037,40.82471264367816,-0.7188355065174825,19.04060843832151,-0.3549012977465548,6.711250391163361,162.5287356321839,-0.5454061318444605,72.51077245979124,0.2633892919544634
12,12,44.98917494319012,40.77298850574713,-0.7194593664491507,19.029176091220005,-0.3502117633847724,6.70739703187385,162.8793103448276,-0.5498388737724174,72.54124961057164,0.26236302806275885
13,13,45.07225999092629,40.86206896551724,-0.7124473363015924,19.034718700337873,-0.3514578343353831,6.713587713802977,162.83764367816093,-0.5510082161186602,72.55525955317262,0.26371722228335015
14,14,45.01805193475169,40.814655172413794,-0.7091114064968354,19.008104690097323,-0.34968007546885244,6.709549309361374,162.85919540229884,-0.5506067996232669,72.54980131412213,0.2629451640496035
15,15,45.031119507935074,40.827586206896555,-0.7096148835371778,19.011292000222856,-0.3513838310181047,6.710523042798905,162.76149425287358,-0.5426318610660061,72.48208320459385,0.2654930065569459
16,16,45.034995970566776,40.831896551724135,-0.7092596939584501,19.01121713172439,-0.35206703390043664,6.710811871194631,162.85488505747125,-0.5452202207598713,72.49200743233355,0.2618199650900006
17,17,44.99469956012316,40.79597701149425,-0.7057431904190192,18.992881238746033,-0.3497042372232556,6.70780884940255,162.8778735632184,-0.5447277787395972,72.48569811059058,0.26101162980961173
18,18,44.99634404050505,40.797413793103445,-0.7059746100426771,18.993692074624438,-0.34981426955623085,6.707931427832656,162.6537356321839,-0.536071136231711,72.40131512664766,0.2663123979034241
19,19,44.943003495743255,40.72126436781609,-0.7123973335415652,19.030831678365946,-0.34640407515428295,6.7039543178443015,162.80747126436782,-0.5455870799237146,72.48158487187447,0.2619575733382949
20,20,44.978682690267,40.76293103448276,-0.707585624683515,19.025915064946187,-0.3518829217079608,6.706614845826992,162.63362068965517,-0.5506861528032108,72.65005877963688,0.25892244943416576
21,21,44.94564085852941,40.73132183908046,-0.7058665879785662,19.015508898840494,-0.3485656100956222,6.7041510169841345,162.7543103448276,-0.5446777838410748,72.56067654008847,0.2581775823549317
22,22,44.96355484576165,40.758620689655174,-0.6980759454971834,18.999335402078273,-0.35190057008771014,6.705486920855312,162.53591954022988,-0.5421072193032304,72.30295079415306,0.2540486312581994
23,23,44.934706781765236,40.73132183908046,-0.6961494343444636,18.989613108750046,-0.34903079201483,6.703335496733342,162.757183908046,-0.549459177178286,72.36529996458724,0.24841750599185441
24,24,44.95056352171283,40.75431034482759,-0.6898060441316045,18.97779797359454,-0.352146419725425,6.70451814239568,162.75574712643677,-0.5494641945677516,72.36548401189293,0.24847423921190384
25,25,44.93106149821437,40.73994252873563,-0.6873111818008457,18.96243653703692,-0.3533777526913844,6.703063590494601,162.6293103448276,-0.5486531179578513,72.37369411671088,0.2529646777819542
26,26,44.90713598158945,40.708333333333336,-0.6940236258825596,18.973658061633984,-0.3489428527059461,6.701278682579128,162.72844827586206,-0.5557528827096965,72.48721719832423,0.2533567863580582
27,27,44.91822070968682,40.72126436781609,-0.6923559543426436,18.97214638734792,-0.35100628875744816,6.7021056922199325,162.6293103448276,-0.5609393982614908,72.55591108374807,0.25446160916461424
28,28,44.892832159603664,40.6882183908046,-0.698958891956933,18.982966366537664,-0.34638259806576993,6.700211351860751,162.68247126436782,-0.5592281925461999,72.53598289541192,0.252827143847743
29,29,44.94810225751165,40.76580459770115,-0.6927892957483661,18.94721278070858,-0.34971883555080113,6.704334587228747,162.4655172413793,-0.5504304235003779,72.44928935919896,0.2580425140336125
