,ID,rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2
0,0,49.34823875125433,45.88809946714032,-0.15581013125439247,18.16913176870383,-0.7096529021048296,7.024830158178512,170.17584369449378,-0.8708528153853123,87.18530181835135,0.1381930915712803
1,1,49.3631376694025,45.898756660746,-0.15772251840101204,18.182704089016116,-0.7069603499366995,7.025890525008378,170.06927175843694,-0.8747119482737058,87.2429860175315,0.14036783924238133
2,2,49.337385620778775,45.850799289520424,-0.1780420612778406,18.23382465254187,-0.7035337070022529,7.024057632222188,170.32859680284193,-0.8839828959035589,87.4030445000927,0.13616233712803952
3,3,49.339491638734366,45.852575488454704,-0.1784009874085708,18.235058904437214,-0.7035422769466271,7.024207545249099,170.3747779751332,-0.8824857231419165,87.34885188137908,0.13702272605345037
4,4,49.40137204068997,45.92362344582593,-0.1634064698634603,18.2237826997148,-0.7115599145958938,7.02861096097159,170.10301953818828,-0.873329633605032,87.18581646282641,0.14139467835050754
5,5,49.37871554471087,45.89165186500888,-0.17774360444644577,18.24294290326604,-0.7063757560635873,7.02699904260068,170.23268206039077,-0.8761692734151949,87.20865597699189,0.13721977324623028
6,6,49.36598018878993,45.880994671403194,-0.1755606242112142,18.235266886982306,-0.7064375920490817,7.0260928110002885,170.29840142095915,-0.8751257747023371,87.19297806868545,0.13519283210405947
7,7,49.42241888510423,45.95737122557726,-0.1534525053705713,18.195702481816586,-0.7144274420585248,7.030108027982517,169.90053285968028,-0.8706646206961901,87.08823224434569,0.14088915262720908
8,8,49.4053628229373,45.93428063943162,-0.16351807319174005,18.20770672854109,-0.710398631033446,7.028894850752663,170.3854351687389,-0.8740870070671969,87.06790985362095,0.13801533914215547
9,9,49.41756686384358,45.94671403197158,-0.16264285541776902,18.20945754725845,-0.7121778886777796,7.029762930842233,170.1101243339254,-0.8737902244277986,87.09244865439233,0.14480280332191875
10,10,49.42290406103159,45.95204262877442,-0.16244656466844098,18.21049837753821,-0.7128988938346744,7.030142534901521,170.12433392539964,-0.8734314770459406,87.08752598740624,0.14439644652751465
11,11,49.43395400097503,45.97868561278863,-0.1524399358702504,18.173136495505084,-0.7128065613064585,7.030928388269577,170.04085257548846,-0.8691575765309665,86.997771276631,0.14432976823955976
12,12,49.44715678769823,45.9911190053286,-0.15312073203469456,18.17760126891077,-0.714045030687663,7.0318672333668415,170.08525754884548,-0.8679826084779685,86.98163085454782,0.14308972710107468
13,13,49.449114451838746,45.99289520426288,-0.15332271150167642,18.178434075747383,-0.7141758175381577,7.032006431441793,170.01065719360568,-0.8713181393023337,87.03492504757547,0.1440387333949683
14,14,49.45279608730507,46.00177619893428,-0.14956939137559955,18.165951012785825,-0.7142117285255106,7.03226820359584,170.03019538188278,-0.8715036162866494,87.06313909927329,0.1446282106064321
15,15,49.45279608730507,46.00177619893428,-0.14956939137559955,18.165951012785822,-0.7142117285255105,7.03226820359584,169.95026642984016,-0.8746439543196924,87.10956212716161,0.1461621507595619
16,16,49.45080265042086,46.0,-0.14932119985358838,18.165020548577672,-0.7141083726594052,7.032126467180526,169.96625222024866,-0.8742517176069415,87.1041463480248,0.14570194888867619
