,ID,rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2
0,0,4.855617068397633,2.466992665036675,16.068843049064547,4.187342154173998,3.323698709960871,2.2035464752070997,2.960880195599022,1.0590081553098383,2.7059185689499596,1.0157199419565675
1,1,4.798634687650819,2.430317848410758,16.81736373741264,4.142754145315492,3.390302090730169,2.1905786193722467,2.958435207823961,1.0655756400416845,2.7054290907417777,1.018846831080219
2,2,4.798634687650819,2.430317848410758,16.81736373741264,4.142754145315492,3.3903020907301684,2.1905786193722467,2.960880195599022,1.0590081553098374,2.7059185689499596,1.0157199419565675
3,3,4.807797252945248,2.444987775061125,16.732341999222285,4.144749875651477,3.37683826186776,2.1926689793366547,2.9559902200489,1.0881523983686874,2.700402940140564,1.020240370337106
4,4,4.811863903917987,2.454767726161369,16.720456775955846,4.143685605755823,3.3729853828920846,2.19359611230463,2.968215158924205,1.0400719942968752,2.7073731919800044,1.0071040742342867
5,5,4.814149885473488,2.4621026894865525,16.7286344292909,4.141984520002317,3.372340150549718,2.194117108422768,2.9633251833740832,1.029645552051746,2.7109300723611245,1.0054538980314762
6,6,4.812371993661647,2.4596577017114916,16.748287698169232,4.141369584981211,3.37549563223855,2.193711921301803,2.9633251833740832,1.029645552051746,2.7109300723611245,1.0054538980314762
7,7,4.832904738887259,2.4816625916870416,16.487406424295212,4.152164705164979,3.3434187102064166,2.1983868492345153,2.943765281173594,1.0781126369663019,2.703350590537653,1.0165650388698206
8,8,4.828855807617157,2.4767726161369192,16.53662579242511,4.150368912215344,3.350756007910315,2.197465769384624,2.9290953545232274,1.1017761938709913,2.703004757455378,1.0265400717291244
9,9,4.778978008617111,2.4425427872860634,17.225355359134667,4.112659722001515,3.4142586694012573,2.18608737442425,2.941320293398533,1.0926287151490772,2.7010308884564784,1.0194330290528362
10,10,4.764887876877861,2.430317848410758,17.438858829476526,4.103520744039682,3.439980003741813,2.182862312853896,2.9559902200489,1.0479159130211633,2.7067489289939695,1.0058853367843343
11,11,4.773859136102022,2.4425427872860634,17.336206903049984,4.106695798465044,3.4247813193018826,2.1849162766801893,2.946210268948655,1.0453219973712553,2.7101916517124645,1.009571637445536
12,12,4.761551389845731,2.432762836185819,17.53036872627102,4.098182577224022,3.4473518181468594,2.1820979331473027,2.946210268948655,1.0453219973712553,2.7101916517124645,1.009571637445536
13,13,4.7807683191377714,2.444987775061125,17.21749221321234,4.113289147403122,3.41526462971679,2.1864968143443,2.9559902200489,1.0479159130211633,2.7067489289939695,1.0058853367843346
14,14,4.7807683191377714,2.444987775061125,17.21749221321234,4.113289147403122,3.41526462971679,2.1864968143443,2.9535452322738385,1.0491330920027204,2.7071606930822587,1.008031125329556
15,15,4.779745366666633,2.4400977995110025,17.20028054229696,4.115007920586574,3.4140446228170656,2.1862628768440984,2.960880195599022,1.0584225340503757,2.703199848223445,1.0075192320670578
16,16,4.8207477430328165,2.45721271393643,16.62113660606286,4.152574568304362,3.371855337042889,2.195620127215274,2.9633251833740832,1.051906319213895,2.70368751355577,1.0043971868785755
17,17,4.911440663262975,2.5036674816625917,15.642019269652774,4.2305623840382,3.303019094895872,2.216177037888213,2.9951100244498776,1.5153280207821576,2.767984959390851,1.1034178650719577
18,18,4.910444932758417,2.4987775061124693,15.626968191357598,4.232301495974279,3.3019155527765824,2.215952376013171,2.9877750611246943,1.5499453398123535,2.7639746863756818,1.1130455759259363
19,19,4.91019596858188,2.4963325183374083,15.614511466320618,4.2334581477983875,3.3005488832593572,2.2158961998662936,2.9902200488997557,1.5430709115710517,2.76442778543256,1.1099622527144162
20,20,4.91019596858188,2.4963325183374083,15.61451146632061,4.2334581477983875,3.3005488832593572,2.2158961998662936,2.997555012224939,1.5085653720746999,2.7684309082325704,1.1003493372370086
21,21,4.91019596858188,2.4963325183374083,15.614511466320618,4.2334581477983875,3.3005488832593572,2.2158961998662936,2.9926650366748166,1.5362272959835472,2.7648786428310728,1.1068827371113787
22,22,4.909199985616547,2.491442542787286,15.59967038122075,4.235187580892084,3.2994766949975,2.2156714525435732,3.0,1.5472447555339572,2.7608964159504144,1.1068245921367836
23,23,4.914177881831175,2.4963325183374083,15.534720860259245,4.238087254344236,3.29052486395062,2.2167945059998626,3.0,1.5472447555339572,2.7608964159504144,1.1068245921367836
24,24,4.92213204445804,2.5061124694376526,15.445069050490257,4.241552943165105,3.2769269269693075,2.2185878491639768,3.0146699266503667,1.5239835387067382,2.7608573460779167,1.0972082813734667
