Signal1,Signal2
51,26
38,8
59,6
25,25
7,54
27,30
13,64
0,59
41,51
55,55
34,20
53,25
49,5
38,23
17,33
8,50
1,42
26,61
22,66
49,41
52,35
31,9
58,3
37,5
25,36
11,38
24,59
42,29
22,31
30,57
44,24
14,39
36,57
52,22
15,34
39,52
62,0
23,28
36,56
64,23
28,30
42,52
73,0
32,29
35,57
70,27
29,32
40,46
76,16
0,58
36,54
72,27
31,30
48,63
74,37
0,72
35,54
70,28
30,29
45,53
73,52
15,62
48,51
82,0
31,31
39,54
72,36
10,58
76,56
80,0
26,32
40,47
75,47
4,57
28,49
72,22
37,19
21,46
85,51
48,32
38,47
96,10
53,27
24,29
84,7
48,23
35,42
91,7
63,22
8,43
40,22
60,29
0,49
27,27
63,23
14,51
39,15
54,37
0,45
29,25
60,26
18,44
34,10
50,28
1,50
24,28
59,21
18,41
39,17
49,37
0,49
31,25
44,28
11,42
37,17
41,31
5,52
21,19
38,30
0,42
27,30
45,22
13,53
28,17
39,24
2,45
24,24
39,25
13,47
29,16
40,21
4,40
20,24
43,21
12,42
25,17
37,23
0,44
26,27
41,21
10,49
25,20
35,29
0,46
25,25
39,24
10,46
21,19
33,33
0,44
24,27
40,22
8,44
22,39
37,20
25,48
22,24
41,20
11,48
20,16
34,26
1,46
20,22
44,26
10,47
21,14
35,31
0,42
24,19
42,25
6,49
22,36
35,18
21,46
18,23
36,20
8,46
20,33
37,16
24,45
24,20
35,25
0,54
34,54
44,14
25,57
25,33
45,29
12,37
34,23
31,35
1,44
24,26
40,25
10,48
22,12
36,27
0,44
19,22
40,26
5,52
18,27
35,17
22,50
18,21
44,22
9,41
20,33
37,21
22,48
26,23
41,22
8,48
18,32
41,16
21,49
18,19
38,26
7,44
19,34
40,18
21,47
21,18
42,26
5,44
18,32
39,14
20,53
17,21
40,25
7,43
21,31
39,17
18,47
21,19
35,28
6,44
21,28
40,19
20,48
25,21
38,27
7,46
16,29
37,19
22,47
18,17
45,19
12,44
25,15
38,34
2,43
17,18
42,26
6,46
19,29
37,23
20,47
19,17
40,26
8,44
19,28
40,18
23,46
18,22
38,22
9,46
21,31
43,17
20,45
18,18
43,26
8,43
19,29
40,17
17,51
17,19
42,28
6,43
21,30
44,18
19,42
21,17
42,27
8,42
16,26
38,20
19,44
18,21
39,27
3,45
17,29
38,19
20,47
22,19
39,31
5,43
16,27
39,23
21,45
18,18
39,27
6,43
19,24
41,19
18,48
21,13
41,25
7,44
18,29
41,19
18,45
21,19
38,27
2,41
18,29
42,18
16,45
18,17
40,31
6,46
20,30
39,19
16,49
16,14
39,25
3,47
21,29
39,19
14,46
21,14
35,30
4,44
23,29
38,19
18,44
16,11
38,28
4,40
19,22
43,21
18,44
19,9
40,12
25,41
19,23
37,17
14,49
18,16
40,25
5,42
23,27
41,18
15,46
19,8
41,13
29,41
19,23
41,19
14,53
20,13
36,26
3,45
19,24
37,21
14,46
16,13
40,29
4,40
19,20
39,20
12,46
19,12
40,30
4,44
18,22
40,18
15,44
20,17
37,28
6,41
21,25
36,29
17,45
20,17
38,28
7,43
19,23
40,23
13,47
19,16
40,29
6,39
18,24
44,20
14,46
14,12
38,28
2,46
17,20
40,23
12,49
18,16
34,32
2,38
20,22
37,22
16,47
18,11
35,28
1,40
22,22
43,25
11,47
19,15
38,26
5,40
21,25
42,25
12,49
21,15
33,28
5,38
19,21
37,26
13,43
20,14
37,31
10,37
26,10
33,33
0,35
16,2
41,14
27,43
19,21
41,21
13,49
19,18
35,29
4,43
17,22
41,25
17,46
20,12
37,28
7,44
18,21
45,23
14,46
22,15
36,29
5,35
20,20
40,27
14,47
18,13
37,32
5,44
21,19
40,24
13,47
18,11
35,30
0,47
21,21
40,24
10,49
19,13
36,31
3,41
20,22
43,23
8,46
16,29
41,17
22,43
20,22
41,25
12,48
19,14
39,28
5,41
17,22
44,25
13,46
19,15
38,32
4,44
20,22
40,25
11,46
23,13
39,31
4,44
21,18
40,22
9,48
16,30
37,20
27,47
19,19
39,27
11,46
23,13
39,31
4,41
18,19
39,24
11,46
21,14
39,26
2,39
18,16
43,21
11,46
22,11
37,27
4,40
20,21
39,25
11,43
20,11
36,30
0,40
23,21
46,25
13,42
21,7
40,18
24,44
23,18
44,21
11,45
22,14
42,30
4,41
22,19
42,25
11,42
25,11
42,29
5,38
19,15
43,26
13,44
23,11
40,27
7,37
19,21
43,22
10,43
21,10
33,30
2,38
17,16
38,30
10,44
19,11
34,32
5,43
20,22
43,23
10,44
22,10
35,30
3,42
23,17
39,28
8,44
18,30
39,14
24,47
17,16
40,23
9,43
16,29
39,17
24,45
20,16
36,27
7,42
17,26
40,20
22,47
22,17
39,26
10,44
22,10
36,28
6,38
18,16
42,27
6,42
19,27
39,18
20,43
19,16
40,27
10,47
26,11
35,33
2,39
16,15
39,27
6,44
21,29
40,19
22,48
19,11
38,26
5,50
21,31
39,20
21,46
18,15
39,27
6,42
20,29
40,17
20,49
20,16
40,23
8,44
20,28
40,20
18,46
20,19
41,28
9,45
20,29
39,20
18,45
17,17
40,29
5,45
21,29
41,19
15,49
20,19
38,26
5,47
19,27
41,20
18,48
18,19
40,24
6,39
20,26
40,21
19,48
18,18
40,28
8,44
21,27
41,20
19,45
21,18
39,26
11,45
24,10
34,31
0,37
17,15
40,28
9,47
22,27
41,23
18,45
21,18
38,26
6,46
20,26
38,24
20,45
20,13
39,26
8,40
17,23
42,19
23,45
20,18
38,28
7,46
21,28
38,22
19,46
21,13
43,25
7,44
20,29
41,18
19,45
19,15
41,25
6,44
17,28
43,21
18,44
19,13
36,25
5,47
16,27
42,22
19,47
17,11
39,28
6,48
18,27
40,24
18,50
20,15
36,32
3,46
20,25
40,20
17,49
15,14
38,33
6,44
20,28
40,18
15,49
21,17
39,30
4,43
21,30
41,17
14,45
19,15
38,28
4,42
21,27
39,21
15,48
18,11
37,32
4,43
22,30
40,22
15,49
20,15
38,32
5,46
20,26
36,25
18,48
18,18
38,34
4,46
21,26
39,24
13,49
16,15
39,26
7,46
21,25
35,23
13,51
16,12
38,30
3,45
19,25
31,31
8,53
21,42
33,22
15,51
22,29
32,29
5,57
19,40
34,23
15,51
23,27
32,30
6,56
16,33
32,21
15,54
22,28
32,28
5,53
17,38
35,22
19,51
22,27
32,28
11,49
20,17
36,26
4,45
18,25
36,24
13,49
22,15
38,34
3,46
21,22
39,26
11,48
22,12
36,33
2,44
20,18
38,25
14,51
17,13
39,28
1,43
20,22
39,26
13,49
19,16
35,31
1,51
22,25
37,26
10,50
21,16
29,33
0,46
22,26
37,26
8,50
20,36
34,21
24,47
21,25
40,20
12,48
18,11
34,33
3,46
22,23
37,23
12,48
19,14
35,32
1,44
22,23
39,28
11,51
18,12
35,33
5,45
19,26
40,26
13,53
22,13
34,34
0,43
19,24
42,23
13,49
19,15
36,31
2,41
18,22
40,25
12,52
19,15
36,32
0,47
20,22
43,24
15,47
18,15
34,32
3,45
25,19
39,28
10,50
16,9
38,16
21,48
21,27
41,26
9,52
22,34
40,15
26,45
18,20
42,29
12,49
25,13
35,33
0,45
20,22
37,26
13,53
21,17
32,30
1,42
22,22
37,22
8,48
16,35
36,22
20,47
22,18
36,30
6,50
21,35
39,21
24,46
21,22
37,28
8,50
22,35
37,19
17,49
23,23
35,30
5,54
20,38
31,22
15,54
22,23
32,25
4,51
21,37
38,20
19,48
22,23
34,31
7,50
20,34
34,23
18,50
20,23
35,30
5,53
20,33
35,18
20,52
20,21
33,31
6,50
21,34
33,24
18,56
22,22
37,29
3,57
19,35
33,20
19,47
21,25
37,25
8,50
20,36
38,20
18,50
25,28
33,30
4,53
19,41
38,19
24,37
31,32
42,16
16,46
13,8
37,17
24,54
20,27
40,29
6,54
21,34
34,25
18,55
25,26
30,28
7,52
20,33
34,21
17,55
23,25
36,26
6,52
23,37
35,24
19,49
19,17
31,30
6,54
18,34
36,22
22,55
22,26
33,30
10,52
19,13
28,34
0,47
22,22
37,27
5,52
20,34
36,20
22,46
19,19
33,31
7,53
19,35
38,18
19,55
20,23
36,31
9,53
21,32
33,22
21,51
22,19
35,24
10,54
22,16
30,36
0,46
20,22
