,ID,rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2
0,0,205.87966392763843,191.33649289099526,-1.131927180831023,76.09536175604009,0.37124394431154173,14.348507376296617,40.92890995260664,3.8504941023747463,14.907144686507248,0.8560222656701435
1,1,205.71330070101948,191.13270142180096,-1.1326825115075938,76.15770873841949,0.3767576580325389,14.342708973587223,40.90284360189573,3.870810893166068,14.899107769335547,0.8619280352685604
2,2,205.67706362735169,191.06872037914692,-1.1342984213315197,76.22050470543397,0.3758990058423867,14.341445660300488,40.90758293838863,3.8684861410666436,14.899775678985195,0.8608771617222015
3,3,205.2822239483836,190.6777251184834,-1.1235608156954602,76.13496221692267,0.38582076486450184,14.3276733613097,40.90758293838863,3.868486141066641,14.899775678985197,0.8608771617222013
4,4,205.73112024888837,191.08056872037915,-1.135596193164777,76.33687777830218,0.3774871324745011,14.343330165930379,40.85781990521327,3.8778620986288246,14.901056825719051,0.8690141315329025
5,5,205.70857198395433,191.05924170616115,-1.1344979412856286,76.32947583426626,0.3783344260121826,14.342544125222496,40.85308056872038,3.8745373992691476,14.903561005010609,0.8692637067599892
6,6,206.21288406523578,191.5260663507109,-1.1439417753040186,76.52055152615748,0.37042890288155833,14.360114347220073,40.90284360189573,3.8537211836582506,14.90898887045587,0.8600734283874686
7,7,205.8756066241059,191.1777251184834,-1.1353009662188172,76.48336211751135,0.3802791140267363,14.34836599143282,40.89099526066351,3.869641298026388,14.901337103198506,0.8627718052724849
8,8,206.2371868775969,191.54028436018956,-1.1453136713048901,76.55052536649042,0.37029942143408096,14.360960513753838,40.89810426540284,3.8726544248238532,14.898757180342061,0.8619798660085286
9,9,206.1525742896652,191.46682464454977,-1.1405223794457384,76.50626843963998,0.37274359580021843,14.358014287834694,40.92417061611374,3.8711000810537195,14.896282233157066,0.8574395786704607
10,10,205.8743577642299,191.1611374407583,-1.1354034699619233,76.52154219306983,0.38163843251409724,14.34832247212997,40.93838862559242,3.8729427268129415,14.893477513887998,0.8552064128471148
11,11,206.07437230143705,191.41943127962085,-1.1338712948917786,76.41390542429829,0.3765734542432323,14.355290742490626,40.93364928909953,3.868568783716813,14.896646482926275,0.8551885468151338
12,12,205.92174582312475,191.27251184834122,-1.1272534644008956,76.37023305427002,0.38217359846549287,14.349973722036035,40.867298578199055,3.8494343865047966,14.918509340782656,0.8593976565803614
13,13,205.89310713081449,191.2227488151659,-1.1286054594739539,76.41773341361626,0.3816269748705046,14.348975821668057,40.872037914691944,3.8476817519555624,14.9188692750193,0.8583882488011976
14,14,206.08381858933078,191.35071090047393,-1.125653344301446,76.61171023013735,0.3854113889080645,14.35561975636478,40.92890995260664,3.7625906111912535,14.96884074029321,0.8496570738961928
15,15,206.10534277954775,191.38862559241707,-1.1246470257104058,76.57480880158714,0.3858924667368754,14.35636941498608,40.867298578199055,3.8532157205392537,14.914687616548926,0.8586513268343324
16,16,206.18121142123488,191.49289099526067,-1.1223119521278273,76.51822751306422,0.38396972109049415,14.359011505714273,40.817535545023695,3.7896969594489454,14.96924402219834,0.8456753088793616
17,17,206.2273684265783,191.5616113744076,-1.1202938475911273,76.47047616376675,0.3833220280909774,14.36061866447885,40.687203791469194,3.8928270515516754,14.875150323636042,0.8444856130735344
18,18,206.2273684265783,191.5616113744076,-1.1202938475911273,76.47047616376675,0.3833220280909774,14.36061866447885,40.867298578199055,4.1123414884038025,15.2138023907174,0.9513253301974627
19,19,206.48542860814212,191.77251184834122,-1.132414649914279,76.63846334876163,0.3787107643020989,14.369600850689698,40.91232227488152,4.13856848915872,15.191865238214898,0.9498123204488756
20,20,206.93882032004106,192.21563981042655,-1.1428833773182852,76.7514323491225,0.36944675840032903,14.385368271964436,40.90284360189573,4.130029703094274,15.198060304702135,0.9497149804504812
