rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2,Class
124.964160837321,102.058091286307,1.21399924706345,72.2624033967524,0.871831208463588,11.1787369965181,48.5186721991701,3.64457711695005,42.3162776981813,1.42421333453937,0
125.07116646333,102.315352697095,1.23692075354927,72.0827658897228,0.873496390316261,11.1835220956249,48.5186721991701,3.64457711695005,42.3162776981813,1.42421333453937,0
125.2557383915,102.668049792531,1.25651244826346,71.9007836067464,0.871005859420606,11.1917710122885,48.2116182572614,3.64070634747318,42.3990078239299,1.43050119261497,0
125.254413294672,102.634854771784,1.25208015635668,71.946040753352,0.868182030218902,11.1917118125277,48.4066390041494,3.54958759073274,42.5152006825007,1.41132405428492,0
125.486356733077,103.033195020747,1.26647784738213,71.7799802184841,0.862890885102737,11.2020693058505,48.1784232365145,3.52642848456168,42.610998570441,1.41282772151383,0
125.756944653688,103.564315352697,1.29270580903132,71.4873897129193,0.863872560127702,11.2141403885313,48.0539419087137,3.51856401560198,42.652388500684,1.41615568215151,0
126.035380002792,104.095435684647,1.31789682200063,71.2045997162184,0.864112478400287,11.226548000289,47.9336099585062,3.51365258024853,42.687768435434,1.42004847121733,0
126.573367765047,104.834024896266,1.30191017614399,71.0746485803204,0.854924564807725,11.2504830014114,47.7634854771784,3.50770911759016,42.7371578504486,1.42515918873843,0
126.833327426422,105.356846473029,1.33233879144818,70.7630232773245,0.857745495477643,11.2620303421018,47.4439834024896,3.59820953351227,42.6477575502674,1.44880636184741,0
126.166277033845,104.676348547718,1.39638455108698,70.5794692523589,0.878314462883684,11.232376286158,47.643153526971,3.63321600735774,42.5372048526992,1.45184916697646,0
126.077842647465,104.560165975104,1.39868764149624,70.5937136481642,0.882590364238804,11.2284390120562,47.5767634854772,3.60895394402787,42.599238543445,1.44607124492183,0
125.979481962416,104.45643153527,1.40932735286123,70.5715887276625,0.887594394234619,11.2240581770773,47.6141078838174,3.61397552346004,42.5824255627246,1.44568954255194,0
125.892893949134,104.381742738589,1.42325496583903,70.5273847425018,0.891321423159835,11.2202002633257,47.6348547717842,3.60729956333407,42.5887244085762,1.44372002560579,0
125.899419777912,104.45643153527,1.43439708907232,70.4279712582035,0.897558784222831,11.2204910667008,47.1203319502075,3.77013656283215,41.6239869933514,1.42374895902132,0
126.407839585659,105.016597510373,1.39074166565785,70.5059079560583,0.878514840966277,11.2431241025642,46.8547717842324,3.76904728140165,41.6879237615867,1.43144854065025,0
126.506014814444,105.298755186722,1.4243488465253,70.2597113580084,0.885799056190332,11.2474892671407,46.8547717842324,3.76904728140165,41.6879237615867,1.43144854065025,0
126.591855683181,105.390041493776,1.41532920663065,70.2775253340754,0.881401759180408,11.2513046213842,46.6680497925311,3.78851707967687,41.698093680617,1.44250826022341,0
126.300011662937,104.887966804979,1.39600690662225,70.5041362587962,0.884664051913089,11.2383277965602,46.7095435684647,3.77243825239619,41.7143894063044,1.438302697857,0
126.450899069634,105.265560165975,1.43359746247287,70.2100124670435,0.891676011495296,11.2450388647454,46.4522821576764,3.76236879636463,41.7922292041641,1.44366002341198,0
125.617545091658,104.331950207469,1.49236532381925,70.1071038953793,0.900710681060987,11.2079233175311,46.5850622406639,3.70445975527987,41.8575215375558,1.43015242370722,0
124.819454675784,103.705394190871,1.6035215245173,69.6074134877035,0.919584156160805,11.1722627375024,46.5850622406639,3.70445975527987,41.8575215375558,1.43015242370722,0
125.123109500685,104.082987551867,1.58809293585039,69.5889221383021,0.906374148349982,11.1858441568209,46.298755186722,3.69725492177945,41.9394647888754,1.43594922931079,0
125.171848677108,104.141078838174,1.58486861209777,69.5896664778466,0.9038444824071,11.1880225543707,46.3319502074689,3.70726269611035,41.9145680712269,1.43746906081798,0
125.443115011285,104.406639004149,1.5490301791493,69.6805254171253,0.89101387597686,11.2001390621405,46.3983402489627,3.72948596404293,41.8598733542488,1.44162203906864,0
125.333463920947,104.211618257261,1.53619609826045,69.7754794402757,0.893472214149616,11.1952429147807,46.448132780083,3.70115079109207,41.8963801966506,1.4362225605891,0
125.363852189077,104.236514522822,1.53087174913961,69.7929532818381,0.892255796430935,11.1966000280923,46.6514522821577,3.73584765520684,41.788790462261,1.43845197173791,0
125.518063370836,104.410788381743,1.51773793559753,69.8096916609186,0.884407350777083,11.2034844298921,46.9253112033195,3.72038930373062,41.7506814116878,1.42716150312563,0
125.410115602513,104.278008298755,1.52335521523797,69.8141692114378,0.889847434337621,11.1986657956434,46.9751037344398,3.74056412654037,41.7016112109995,1.43211232515483,0
126.190727016934,104.871369294606,1.41465307630136,70.3322179744145,0.873036918640876,11.2334646043388,47.0290456431535,3.75851622821749,41.6580722809967,1.43527042997224,0
126.922526766646,105.46887966805,1.31760134748108,70.7560367447397,0.85364968142462,11.2659898263156,47.0414937759336,3.76211986117078,41.6492089291742,1.43574236276763,0
127.193990437125,105.98755186722,1.34547553196646,70.4666872434415,0.854702521115929,11.2780313192119,46.5850622406639,3.89537172823385,41.5038404961952,1.4612739145546,0
127.531771324229,106.585062240664,1.36736606240007,70.1741436898255,0.854887777123232,11.292996560888,46.2863070539419,4.007784787447,41.3839363367236,1.48678924763578,0
126.531153397426,105.767634854772,1.47161900832387,69.5948090602509,0.870535388731396,11.2486067313879,46.5933609958506,3.95247188029414,41.4030066026608,1.46849633040018,0
126.228962751598,105.551867219917,1.52474833434708,69.3723528521915,0.8779481134023,11.235166342854,46.5352697095436,3.9387959115058,41.4376011918055,1.4675049183214,0
