,ID,rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2
0,0,554.6290597682328,433.16450216450215,-1.7207731968493412,346.75953115451324,-0.26088808294937843,23.550563894909878,637.7467532467532,1.9187711751434628,114.97104577621305,-0.011954384364406141
1,1,555.2805597173378,434.40909090909093,-1.7144587788579198,346.24374723382516,-0.2685279855565216,23.56439177482283,637.538961038961,1.9016811076911857,115.08083359893142,-0.008326870283429839
2,2,556.6216179247133,436.2056277056277,-1.7089820059511904,346.1381348316682,-0.276827387516584,23.592829799002775,637.0151515151515,1.859116618472152,113.93141078865695,-0.06685011613707198
3,3,555.8073473419611,434.8290043290043,-1.715027805428077,346.5624229434049,-0.2683816148015424,23.575566744872987,636.8463203463203,1.8402538624955245,114.05747008932376,-0.06483201342290858
4,4,555.0465952906324,433.5064935064935,-1.7210582003651027,347.0006766405209,-0.2601506569053154,23.55942688799183,637.0194805194806,1.8490519998819916,114.00583027937873,-0.06889119975727155
5,5,555.6642898642157,434.7251082251082,-1.7146944248420546,346.463133698899,-0.2675595389080469,23.572532529709566,636.7121212121212,1.8214116250021029,114.19444079415146,-0.06455652401757463
6,6,556.2932516381821,435.1948051948052,-1.7151249543411617,346.8834297172969,-0.26727174343345633,23.585869745213596,637.1796536796537,1.7943764312318917,114.41191791242906,-0.0701405649203372
7,7,555.3581563443377,433.6948051948052,-1.7206361732525814,347.26433813011494,-0.25858322290795305,23.566038197888453,637.3896103896104,1.7806640324012868,114.50423052107352,-0.07408201753430504
8,8,556.2060002540558,435.0930735930736,-1.7148759980645065,346.87110572463075,-0.2671205500014424,23.584020018946212,637.547619047619,1.79667462133758,114.39912295430226,-0.07646404137238706
9,9,557.4148800353723,436.67316017316017,-1.7098315971179596,346.82598500798576,-0.2758356011179059,23.609635321947952,637.961038961039,1.8052212436953914,114.34748672150864,-0.08473160736344384
10,10,556.6895852917444,435.35064935064935,-1.7160977780608149,347.3243721818381,-0.26780441037371233,23.594270179256327,638.1428571428571,1.8139888854196444,114.29640056949403,-0.08903284922433792
11,11,556.3293622552735,435.05627705627705,-1.7152164522346698,347.11553440171184,-0.26705211748136654,23.58663524658135,637.8333333333334,1.8078362527590333,114.3302876679479,-0.08198495648746311
12,12,557.6012962930643,436.66450216450215,-1.7102174845868015,347.1370761960254,-0.2755894110994504,23.61358287708717,638.430735930736,1.8339933197537004,114.11469364144226,-0.08847463958560522
13,13,557.6081592905176,436.73809523809524,-1.709930320329263,347.0553329688712,-0.2756364785361481,23.613728195490808,638.2792207792207,1.8181306155357424,114.21757769869221,-0.08621169508177333
14,14,556.9224125433215,435.54761904761904,-1.7161580670631684,347.4509296098178,-0.26770355628724,23.599203642142704,638.3809523809524,1.8299483760426583,114.13915235627712,-0.08744180086446975
